datetime,season,mask_shed,mask_up,Q_shed_kW,Q_up_kW,P_IT_kW,P_Cool_kW,P_Other_kW
2024-06-01 00:15:00,Summer,False,False,0.0,0.0,2302.9065817281726,274.31906307518284,613.8143551966443
2024-06-01 00:30:00,Summer,False,False,0.0,0.0,2312.0022355103542,274.31906307518284,616.2387014144626
2024-06-01 00:45:00,Summer,False,False,0.0,0.0,2308.9703509162937,274.31906307518284,615.4305860085233
2024-06-01 01:00:00,Summer,False,False,0.0,0.0,2324.1297738865965,274.31906307518284,619.4711630382204
2024-06-01 01:15:00,Summer,False,False,0.0,0.0,2309.5406899229306,275.5167064954578,615.5826035816111
2024-06-01 01:30:00,Summer,False,False,0.0,0.0,2323.934227012678,276.4867308120484,619.419042175274
2024-06-01 01:45:00,Summer,False,False,0.0,0.0,2309.3469758216656,277.68205295432904,615.5309712240054
2024-06-01 02:00:00,Summer,False,False,0.0,0.0,2316.1630324778976,278.64925155707095,617.3477159650313
2024-06-01 02:15:00,Summer,False,False,0.0,0.0,2319.4214197228293,276.4423771222558,618.2162031549146
2024-06-01 02:30:00,Summer,False,False,0.0,0.0,2318.301709840128,274.02053332714485,617.9177568327273
2024-06-01 02:45:00,Summer,False,False,0.0,0.0,2313.9638544398276,271.8345962508405,616.7615493093316
2024-06-01 03:00:00,Summer,False,False,0.0,0.0,2317.3738916187485,269.43565126437676,617.6704571168749
2024-06-01 03:15:00,Summer,False,False,0.0,0.0,2313.177835853696,268.9901194236749,616.5520447226291
2024-06-01 03:30:00,Summer,False,False,0.0,0.0,2316.7368844350444,268.32244568861546,617.5006698763401
2024-06-01 03:45:00,Summer,False,False,0.0,0.0,2324.8431695031936,267.65551972359896,619.6613107732073
2024-06-01 04:00:00,Summer,False,False,0.0,0.0,2316.098237238844,267.2113172525971,617.330445508559
2024-06-01 04:15:00,Summer,False,False,0.0,0.0,2317.4985090416103,265.437818441608,617.7036725167818
2024-06-01 04:30:00,Summer,False,False,0.0,0.0,2302.0449607004834,263.8903396867031,613.5846996128134
2024-06-01 04:45:00,Summer,False,False,0.0,0.0,2301.7476549238013,262.34688903976775,613.5054560364312
2024-06-01 05:00:00,Summer,False,False,0.0,0.0,2313.7480992503743,260.58785860690915,616.7040421427164
2024-06-01 05:15:00,Summer,False,False,0.0,0.0,2300.803973296744,261.6220985985346,613.2539281047212
2024-06-01 05:30:00,Summer,False,False,0.0,0.0,2296.7796805149374,262.8790222454344,612.1812972396284
2024-06-01 05:45:00,Summer,False,False,0.0,0.0,2306.3963570867368,264.13912657656505,614.7445163366983
2024-06-01 06:00:00,Summer,False,False,0.0,0.0,2311.6379747857104,265.18041347927556,616.1416117350138
2024-06-01 06:15:00,Summer,False,False,0.0,0.0,2313.7927737462874,266.2912766167367,616.7159496369761
2024-06-01 06:30:00,Summer,False,False,0.0,0.0,2303.818392377079,267.404219352352,614.0573882705695
2024-06-01 06:45:00,Summer,False,False,0.0,0.0,2318.097441428179,268.5192472318299,617.8633113399911
2024-06-01 07:00:00,Summer,False,False,0.0,0.0,2306.603820708007,269.6363658147479,614.7998134772454
2024-06-01 07:15:00,Summer,False,False,0.0,0.0,2302.4332420292653,272.9985662513145,613.6881917194199
2024-06-01 07:30:00,Summer,False,False,0.0,0.0,2302.733751224067,276.45795964435536,613.7682891315777
2024-06-01 07:45:00,Summer,False,False,0.0,0.0,2282.091506064911,279.56216762853836,608.2663263065509
2024-06-01 08:00:00,Summer,False,False,0.0,0.0,2309.892135387697,282.7515871174495,615.6762774948536
2024-06-01 08:15:00,Summer,False,False,0.0,0.0,2313.390700836942,286.00051762640766,616.6087815366502
2024-06-01 08:30:00,Summer,False,False,0.0,0.0,2292.609695507026,289.2804707747579,611.0698337182163
2024-06-01 08:45:00,Summer,False,False,0.0,0.0,2281.0829088477303,292.35959531215155,607.9974958401182
2024-06-01 09:00:00,Summer,False,False,0.0,0.0,2292.634918063189,295.0085254243783,611.0765565124324
2024-06-01 09:15:00,Summer,False,False,0.0,0.0,2300.5784999038597,292.6276694379962,613.1938306581442
2024-06-01 09:30:00,Summer,False,False,0.0,0.0,2308.7479012432027,289.96080425568266,615.3712945011146
2024-06-01 09:45:00,Summer,False,False,0.0,0.0,2300.126954542851,287.4395692357891,613.0734762213604
2024-06-01 10:00:00,Summer,False,False,0.0,0.0,2293.2449383343956,284.63591097657905,611.2391506890256
2024-06-01 10:15:00,Summer,False,False,0.0,0.0,2290.216585355569,286.5514380482474,610.4319765961836
2024-06-01 10:30:00,Summer,False,False,0.0,0.0,2287.3093288521322,288.31359171434286,609.6570794335253
2024-06-01 10:45:00,Summer,False,False,0.0,0.0,2320.910114207093,289.9168875390537,618.6129982538531
2024-06-01 11:00:00,Summer,False,False,0.0,0.0,2303.0987126171362,291.3557218163947,613.8655655664693
2024-06-01 11:15:00,Summer,False,False,0.0,0.0,2313.5419918431226,289.64890167081694,616.6491064860609
2024-06-01 11:30:00,Summer,False,False,0.0,0.0,2319.619405091452,287.71162093681284,618.2689739717352
2024-06-01 11:45:00,Summer,False,False,0.0,0.0,2315.1049399366284,285.7493669976235,617.0656930657481
2024-06-01 12:00:00,Summer,False,False,0.0,0.0,2315.0009974923582,283.96101415424044,617.0379883534016
2024-06-01 12:15:00,Summer,False,False,0.0,0.0,2311.370270014445,282.79947200533985,616.0702579802149
2024-06-01 12:30:00,Summer,False,False,0.0,0.0,2327.5264877586387,281.53699257612965,620.3765196652316
2024-06-01 12:45:00,Summer,False,False,0.0,0.0,2336.1840441525433,280.17185999234965,622.684095855107
