datetime,measured_kWh,IT,Cooling,Other,temperature,humidity,enthalpy
2024-11-28 20:00:00,734.4,579.8479286140787,0.0,154.5520713859213,1.2,80.0,9.444267833452074
2024-11-28 20:15:00,732.0,577.9530007427909,0.0,154.04699925720914,1.1,80.0,9.283749538485507
2024-11-28 20:30:00,725.76,573.0261882774424,0.0,152.73381172255753,1.0,80.0,9.123621290027401
2024-11-28 20:45:00,746.88,589.7015535447755,0.0,157.17844645522453,0.9,80.0,8.963880849020034
2024-11-28 21:00:00,761.28,601.0711207725025,0.0,160.2088792274975,0.8,80.0,8.8045259876362
2024-11-28 21:15:00,766.56,605.2399620893357,0.0,161.32003791066424,0.72,79.5,8.627359599104201
2024-11-28 21:30:00,762.24,601.8290919210176,0.0,160.41090807898237,0.65,79.0,8.466811421741852
2024-11-28 21:45:00,761.28,601.0711207725025,0.0,160.2088792274975,0.57,78.5,8.291241358442695
2024-11-28 22:00:00,748.32,590.8385102675481,0.0,157.48148973245185,0.5,78.0,8.132149822724196
2024-11-28 22:15:00,730.56,576.8160440200181,0.0,153.74395597998185,0.17,77.25,7.545505679711544
2024-11-28 22:30:00,730.08,576.4370584457606,0.0,153.64294155423943,-0.15,76.5,6.981578599694396
2024-11-28 22:45:00,740.64,584.774741079427,0.0,155.86525892057293,-0.48,75.75,6.409381473971932
2024-11-28 23:00:00,734.88,580.2269141883363,0.0,154.65308581166374,-0.8,75.0,5.85921254815816
2024-11-28 23:15:00,734.4,579.8479286140787,0.0,154.5520713859213,-0.95,75.5,5.678728734095724
2024-11-28 23:30:00,730.08,576.4370584457606,0.0,153.64294155423943,-1.1,76.0,5.497995789818514
2024-11-28 23:45:00,728.64,575.3001017229878,0.0,153.3398982770121,-1.25,76.5,5.317021914826116
2024-11-29 00:00:00,736.56,581.5533636982377,0.0,155.00663630176223,-1.4,77.0,5.135815188419949
2024-11-29 00:15:00,744.48,587.8066256734876,0.0,156.6733743265124,-1.55,78.0,4.9965846417524205
2024-11-29 00:30:00,750.24,592.3544525645784,0.0,157.88554743542159,-1.7,79.0,4.856200731955633
2024-11-29 00:45:00,738.72,583.2587987823969,0.0,155.4612012176032,-1.85,80.0,4.714684961463993
2024-11-29 01:00:00,722.88,570.752274831897,0.0,152.12772516810293,-2.0,81.0,4.57205856581249
2024-11-29 01:15:00,719.52,568.0993758120941,0.0,151.4206241879059,-2.08,80.5,4.411699650973672
2024-11-29 01:30:00,727.2,574.1631450002152,0.0,153.03685499978482,-2.15,80.0,4.266914965411122
2024-11-29 01:45:00,720.48,568.8573469606092,0.0,151.62265303939077,-2.22,79.5,4.122715484257249
2024-11-29 02:00:00,722.4,570.3732892576395,0.0,152.02671074236048,-2.3,79.0,3.964327229457685
2024-11-29 02:15:00,720.48,568.8573469606092,0.0,151.62265303939077,-2.28,78.0,3.9139635067015397
2024-11-29 02:30:00,723.84,571.5102459804123,0.0,152.3297540195878,-2.25,77.0,3.8780422495690483
2024-11-29 02:45:00,714.24,563.9305344952609,0.0,150.30946550473917,-2.22,76.0,3.8417954230302533
2024-11-29 03:00:00,720.48,568.8573469606092,0.0,151.62265303939077,-2.2,75.0,3.7906620890283436
2024-11-29 03:15:00,726.72,573.7841594259577,0.0,152.93584057404237,-2.4,75.75,3.559465181543326
2024-11-29 03:30:00,717.12,566.2044479408063,0.0,150.91555205919374,-2.6,76.5,3.327687102681185
2024-11-29 03:45:00,719.52,568.0993758120941,0.0,151.4206241879059,-2.8,77.25,3.095349357365902
